Epoch,Loss,Test Accuracy
0,456.5217590332031,0.7255676209279368
1,5902.3642578125,0.7255676209279368
2,4023.16650390625,0.2744323790720632
3,10553.671875,0.7255676209279368
4,5573.24462890625,0.7255676209279368
5,10742.04296875,0.7255676209279368
6,14565.7578125,0.7255676209279368
7,16693.7890625,0.7255676209279368
8,16172.9453125,0.7255676209279368
9,14137.8486328125,0.7255676209279368
10,11395.7119140625,0.7255676209279368
11,8356.2744140625,0.7255676209279368
12,5242.0341796875,0.7255676209279368
13,2188.320556640625,0.2744323790720632
14,8273.1123046875,0.7250740375123396
15,1133.8218994140625,0.7250740375123396
16,2322.733642578125,0.7255676209279368
17,3108.650634765625,0.7255676209279368
18,3643.1630859375,0.7255676209279368
19,3957.01513671875,0.7255676209279368
20,4096.66162109375,0.7255676209279368
21,4072.802978515625,0.7250740375123396
22,3910.868408203125,0.7250740375123396
23,3652.148681640625,0.7250740375123396
24,3327.947021484375,0.7250740375123396
25,2965.070068359375,0.7250740375123396
26,2580.59326171875,0.7250740375123396
27,2194.606689453125,0.7250740375123396
28,1848.3211669921875,0.7270483711747285
29,1554.1280517578125,0.7388943731490621
30,1279.8487548828125,0.7438302073050346
31,1030.31787109375,0.7438302073050346
32,812.1432495117188,0.7438302073050346
33,615.88671875,0.7433366238894373
34,440.9947204589844,0.7433366238894373
35,287.82135009765625,0.7458045409674235
36,156.7795867919922,0.7443237907206318
37,52.009254455566406,0.2783810463968411
38,381.8145446777344,0.7443237907206318
39,52.75441360473633,0.7443237907206318
40,119.34564971923828,0.7458045409674235
41,156.6150665283203,0.7458045409674235
42,176.6034393310547,0.7458045409674235
43,183.56414794921875,0.7458045409674235
44,181.7670135498047,0.7458045409674235
45,172.7564239501953,0.7443237907206318
46,157.9248809814453,0.7443237907206318
47,138.52642822265625,0.7443237907206318
48,116.5875473022461,0.7438302073050346
49,92.27412414550781,0.7443237907206318
50,68.21678161621094,0.7433366238894373
51,52.196720123291016,0.7443237907206318
52,36.073062896728516,0.7428430404738401
53,20.176166534423828,0.7354392892398816
54,5.699280261993408,0.2818361303060217
55,119.65161895751953,0.7398815399802566
56,11.103504180908203,0.7423494570582428
